Output from Varactor Board,,,
"27-Jul-2021, 12:51:23",,,
1.0075,0.90294,-0.99292,0.46185
1.0076,0.90284,-0.99296,0.46186
1.0077,0.90274,-0.99301,0.46186
1.0079,0.90264,-0.99305,0.46187
1.008,0.90254,-0.99309,0.46187
1.0081,0.90244,-0.99313,0.46188
1.0082,0.90234,-0.99317,0.46188
1.0083,0.90224,-0.99321,0.46189
1.0084,0.90214,-0.99325,0.46189
1.0086,0.90204,-0.99329,0.4619
1.0087,0.90194,-0.99333,0.4619
1.0088,0.90184,-0.99337,0.46191
1.0089,0.90174,-0.99341,0.46191
1.009,0.90164,-0.99345,0.46192
1.0091,0.90154,-0.99349,0.46192
1.0093,0.90144,-0.99353,0.46193
1.0094,0.90134,-0.99357,0.46194
1.0095,0.90124,-0.99361,0.46194
1.0096,0.90114,-0.99365,0.46195
1.0097,0.90104,-0.99368,0.46195
1.0098,0.90094,-0.99372,0.46196
1.0099,0.90084,-0.99376,0.46197
1.0101,0.90074,-0.9938,0.46197
1.0102,0.90064,-0.99384,0.46198
1.0103,0.90054,-0.99388,0.46198
1.0104,0.90044,-0.99392,0.46199
1.0105,0.90034,-0.99395,0.462
1.0106,0.90024,-0.99399,0.462
1.0108,0.90013,-0.99403,0.46201
1.0109,0.90003,-0.99407,0.46202
1.011,0.89993,-0.99411,0.46202
1.0111,0.89983,-0.99414,0.46203
1.0112,0.89973,-0.99418,0.46204
1.0113,0.89963,-0.99422,0.46204
1.0115,0.89953,-0.99426,0.46205
1.0116,0.89943,-0.99429,0.46206
1.0117,0.89933,-0.99433,0.46207
1.0118,0.89923,-0.99437,0.46207
1.0119,0.89912,-0.9944,0.46208
1.012,0.89902,-0.99444,0.46209
1.0121,0.89892,-0.99448,0.4621
1.0123,0.89882,-0.99451,0.4621
1.0124,0.89872,-0.99455,0.46211
1.0125,0.89862,-0.99458,0.46212
1.0126,0.89852,-0.99462,0.46213
1.0127,0.89841,-0.99466,0.46213
1.0128,0.89831,-0.99469,0.46214
1.013,0.89821,-0.99473,0.46215
1.0131,0.89811,-0.99476,0.46216
1.0132,0.89801,-0.9948,0.46217
1.0133,0.89791,-0.99483,0.46217
1.0134,0.8978,-0.99487,0.46218
1.0135,0.8977,-0.9949,0.46219
1.0136,0.8976,-0.99494,0.4622
1.0138,0.8975,-0.99497,0.46221
1.0139,0.8974,-0.99501,0.46222
1.014,0.89729,-0.99504,0.46222
1.0141,0.89719,-0.99508,0.46223
1.0142,0.89709,-0.99511,0.46224
1.0143,0.89699,-0.99515,0.46225
1.0145,0.89689,-0.99518,0.46226
1.0146,0.89678,-0.99521,0.46227
1.0147,0.89668,-0.99525,0.46228
1.0148,0.89658,-0.99528,0.46229
1.0149,0.89648,-0.99532,0.4623
1.015,0.89637,-0.99535,0.46231
1.0152,0.89627,-0.99538,0.46232
1.0153,0.89617,-0.99542,0.46233
1.0154,0.89607,-0.99545,0.46233
1.0155,0.89596,-0.99548,0.46234
1.0156,0.89586,-0.99551,0.46235
1.0157,0.89576,-0.99555,0.46236
1.0158,0.89565,-0.99558,0.46237
1.016,0.89555,-0.99561,0.46238
1.0161,0.89545,-0.99565,0.46239
1.0162,0.89535,-0.99568,0.4624
1.0163,0.89524,-0.99571,0.46241
1.0164,0.89514,-0.99574,0.46242
1.0165,0.89504,-0.99577,0.46243
1.0167,0.89493,-0.99581,0.46245
1.0168,0.89483,-0.99584,0.46246
1.0169,0.89473,-0.99587,0.46247
1.017,0.89462,-0.9959,0.46248
1.0171,0.89452,-0.99593,0.46249
1.0172,0.89442,-0.99596,0.4625
1.0173,0.89431,-0.99599,0.46251
1.0175,0.89421,-0.99602,0.46252
1.0176,0.89411,-0.99606,0.46253
1.0177,0.894,-0.99609,0.46254
1.0178,0.8939,-0.99612,0.46255
1.0179,0.89379,-0.99615,0.46256
1.018,0.89369,-0.99618,0.46258
1.0182,0.89359,-0.99621,0.46259
1.0183,0.89348,-0.99624,0.4626
1.0184,0.89338,-0.99627,0.46261
1.0185,0.89328,-0.9963,0.46262
1.0186,0.89317,-0.99633,0.46263
1.0187,0.89307,-0.99636,0.46265
1.0189,0.89296,-0.99639,0.46266
1.019,0.89286,-0.99642,0.46267
1.0191,0.89275,-0.99645,0.46268
1.0192,0.89265,-0.99647,0.46269
1.0193,0.89255,-0.9965,0.46271
1.0194,0.89244,-0.99653,0.46272
1.0195,0.89234,-0.99656,0.46273
1.0197,0.89223,-0.99659,0.46274
1.0198,0.89213,-0.99662,0.46275
1.0199,0.89202,-0.99665,0.46277
1.02,0.89192,-0.99668,0.46278
1.0201,0.89181,-0.9967,0.46279
1.0202,0.89171,-0.99673,0.46281
1.0204,0.89161,-0.99676,0.46282
1.0205,0.8915,-0.99679,0.46283
1.0206,0.8914,-0.99682,0.46284
1.0207,0.89129,-0.99684,0.46286
1.0208,0.89119,-0.99687,0.46287
1.0209,0.89108,-0.9969,0.46288
1.0211,0.89098,-0.99693,0.4629
1.0212,0.89087,-0.99695,0.46291
1.0213,0.89077,-0.99698,0.46292
1.0214,0.89066,-0.99701,0.46294
1.0215,0.89056,-0.99703,0.46295
1.0216,0.89045,-0.99706,0.46296
1.0217,0.89035,-0.99709,0.46298
1.0219,0.89024,-0.99711,0.46299
1.022,0.89013,-0.99714,0.46301
1.0221,0.89003,-0.99717,0.46302
1.0222,0.88992,-0.99719,0.46303
1.0223,0.88982,-0.99722,0.46305
1.0224,0.88971,-0.99724,0.46306
1.0226,0.88961,-0.99727,0.46308
1.0227,0.8895,-0.99729,0.46309
1.0228,0.8894,-0.99732,0.46311
1.0229,0.88929,-0.99734,0.46312
1.023,0.88918,-0.99737,0.46313
1.0231,0.88908,-0.9974,0.46315
1.0232,0.88897,-0.99742,0.46316
1.0234,0.88887,-0.99744,0.46318
1.0235,0.88876,-0.99747,0.46319
1.0236,0.88865,-0.99749,0.46321
1.0237,0.88855,-0.99752,0.46322
1.0238,0.88844,-0.99754,0.46324
1.0239,0.88834,-0.99757,0.46325
1.0241,0.88823,-0.99759,0.46327
1.0242,0.88812,-0.99762,0.46328
1.0243,0.88802,-0.99764,0.4633
1.0244,0.88791,-0.99766,0.46332
1.0245,0.8878,-0.99769,0.46333
1.0246,0.8877,-0.99771,0.46335
1.0248,0.88759,-0.99773,0.46336
1.0249,0.88748,-0.99776,0.46338
1.025,0.88738,-0.99778,0.46339
1.0251,0.88727,-0.9978,0.46341
1.0252,0.88716,-0.99783,0.46343
1.0253,0.88706,-0.99785,0.46344
1.0254,0.88695,-0.99787,0.46346
1.0256,0.88684,-0.99789,0.46348
1.0257,0.88674,-0.99792,0.46349
1.0258,0.88663,-0.99794,0.46351
1.0259,0.88652,-0.99796,0.46352
1.026,0.88642,-0.99798,0.46354
1.0261,0.88631,-0.99801,0.46356
1.0263,0.8862,-0.99803,0.46358
1.0264,0.88609,-0.99805,0.46359
1.0265,0.88599,-0.99807,0.46361
1.0266,0.88588,-0.99809,0.46363
1.0267,0.88577,-0.99811,0.46364
1.0268,0.88566,-0.99813,0.46366
1.0269,0.88556,-0.99816,0.46368
1.0271,0.88545,-0.99818,0.46369
1.0272,0.88534,-0.9982,0.46371
1.0273,0.88523,-0.99822,0.46373
1.0274,0.88513,-0.99824,0.46375
1.0275,0.88502,-0.99826,0.46376
1.0276,0.88491,-0.99828,0.46378
1.0278,0.8848,-0.9983,0.4638
1.0279,0.8847,-0.99832,0.46382
1.028,0.88459,-0.99834,0.46384
1.0281,0.88448,-0.99836,0.46385
1.0282,0.88437,-0.99838,0.46387
1.0283,0.88426,-0.9984,0.46389
1.0285,0.88416,-0.99842,0.46391
1.0286,0.88405,-0.99844,0.46393
1.0287,0.88394,-0.99846,0.46395
1.0288,0.88383,-0.99848,0.46396
1.0289,0.88372,-0.9985,0.46398
1.029,0.88362,-0.99852,0.464
1.0291,0.88351,-0.99853,0.46402
1.0293,0.8834,-0.99855,0.46404
1.0294,0.88329,-0.99857,0.46406
1.0295,0.88318,-0.99859,0.46408
1.0296,0.88307,-0.99861,0.4641
1.0297,0.88296,-0.99863,0.46411
1.0298,0.88286,-0.99864,0.46413
1.03,0.88275,-0.99866,0.46415
1.0301,0.88264,-0.99868,0.46417
1.0302,0.88253,-0.9987,0.46419
1.0303,0.88242,-0.99872,0.46421
1.0304,0.88231,-0.99873,0.46423
1.0305,0.8822,-0.99875,0.46425
1.0307,0.88209,-0.99877,0.46427
1.0308,0.88199,-0.99879,0.46429
1.0309,0.88188,-0.9988,0.46431
1.031,0.88177,-0.99882,0.46433
1.0311,0.88166,-0.99884,0.46435
1.0312,0.88155,-0.99885,0.46437
1.0313,0.88144,-0.99887,0.46439
1.0315,0.88133,-0.99889,0.46441
1.0316,0.88122,-0.9989,0.46443
1.0317,0.88111,-0.99892,0.46445
1.0318,0.881,-0.99893,0.46447
1.0319,0.88089,-0.99895,0.46449
1.032,0.88078,-0.99897,0.46451
1.0322,0.88067,-0.99898,0.46453
1.0323,0.88056,-0.999,0.46455
1.0324,0.88045,-0.99901,0.46458
1.0325,0.88034,-0.99903,0.4646
1.0326,0.88024,-0.99904,0.46462
1.0327,0.88013,-0.99906,0.46464
1.0328,0.88002,-0.99907,0.46466
1.033,0.87991,-0.99909,0.46468
1.0331,0.8798,-0.9991,0.4647
1.0332,0.87969,-0.99912,0.46472
1.0333,0.87958,-0.99913,0.46475
1.0334,0.87947,-0.99915,0.46477
1.0335,0.87936,-0.99916,0.46479
1.0337,0.87925,-0.99918,0.46481
1.0338,0.87914,-0.99919,0.46483
1.0339,0.87902,-0.9992,0.46486
1.034,0.87891,-0.99922,0.46488
1.0341,0.8788,-0.99923,0.4649
1.0342,0.87869,-0.99924,0.46492
1.0344,0.87858,-0.99926,0.46494
1.0345,0.87847,-0.99927,0.46497
1.0346,0.87836,-0.99928,0.46499
1.0347,0.87825,-0.9993,0.46501
1.0348,0.87814,-0.99931,0.46503
1.0349,0.87803,-0.99932,0.46506
1.035,0.87792,-0.99934,0.46508
1.0352,0.87781,-0.99935,0.4651
1.0353,0.8777,-0.99936,0.46512
1.0354,0.87759,-0.99937,0.46515
1.0355,0.87748,-0.99939,0.46517
1.0356,0.87737,-0.9994,0.46519
1.0357,0.87725,-0.99941,0.46522
1.0359,0.87714,-0.99942,0.46524
1.036,0.87703,-0.99943,0.46526
1.0361,0.87692,-0.99944,0.46529
1.0362,0.87681,-0.99946,0.46531
1.0363,0.8767,-0.99947,0.46533
1.0364,0.87659,-0.99948,0.46536
1.0366,0.87648,-0.99949,0.46538
1.0367,0.87636,-0.9995,0.46541
1.0368,0.87625,-0.99951,0.46543
1.0369,0.87614,-0.99952,0.46545
1.037,0.87603,-0.99953,0.46548
1.0371,0.87592,-0.99954,0.4655
1.0372,0.87581,-0.99955,0.46553
1.0374,0.87569,-0.99956,0.46555
1.0375,0.87558,-0.99957,0.46558
1.0376,0.87547,-0.99958,0.4656
1.0377,0.87536,-0.99959,0.46562
1.0378,0.87525,-0.9996,0.46565
1.0379,0.87514,-0.99961,0.46567
1.0381,0.87502,-0.99962,0.4657
1.0382,0.87491,-0.99963,0.46572
1.0383,0.8748,-0.99964,0.46575
1.0384,0.87469,-0.99965,0.46577
1.0385,0.87458,-0.99966,0.4658
1.0386,0.87446,-0.99967,0.46582
1.0387,0.87435,-0.99968,0.46585
1.0389,0.87424,-0.99969,0.46587
1.039,0.87413,-0.9997,0.4659
1.0391,0.87401,-0.9997,0.46593
1.0392,0.8739,-0.99971,0.46595
1.0393,0.87379,-0.99972,0.46598
1.0394,0.87368,-0.99973,0.466
1.0396,0.87356,-0.99974,0.46603
1.0397,0.87345,-0.99975,0.46605
1.0398,0.87334,-0.99975,0.46608
1.0399,0.87323,-0.99976,0.46611
1.04,0.87311,-0.99977,0.46613
1.0401,0.873,-0.99978,0.46616
1.0403,0.87289,-0.99978,0.46619
1.0404,0.87277,-0.99979,0.46621
1.0405,0.87266,-0.9998,0.46624
1.0406,0.87255,-0.9998,0.46626
1.0407,0.87244,-0.99981,0.46629
1.0408,0.87232,-0.99982,0.46632
1.0409,0.87221,-0.99982,0.46635
1.0411,0.8721,-0.99983,0.46637
1.0412,0.87198,-0.99984,0.4664
1.0413,0.87187,-0.99984,0.46643
1.0414,0.87176,-0.99985,0.46645
1.0415,0.87164,-0.99986,0.46648
1.0416,0.87153,-0.99986,0.46651
1.0418,0.87142,-0.99987,0.46654
1.0419,0.8713,-0.99987,0.46656
1.042,0.87119,-0.99988,0.46659
1.0421,0.87108,-0.99988,0.46662
1.0422,0.87096,-0.99989,0.46665
1.0423,0.87085,-0.99989,0.46667
1.0424,0.87073,-0.9999,0.4667
1.0426,0.87062,-0.9999,0.46673
1.0427,0.87051,-0.99991,0.46676
1.0428,0.87039,-0.99991,0.46679
1.0429,0.87028,-0.99992,0.46681
1.043,0.87017,-0.99992,0.46684
1.0431,0.87005,-0.99993,0.46687
1.0433,0.86994,-0.99993,0.4669
1.0434,0.86982,-0.99993,0.46693
1.0435,0.86971,-0.99994,0.46696
1.0436,0.86959,-0.99994,0.46698
1.0437,0.86948,-0.99995,0.46701
1.0438,0.86937,-0.99995,0.46704
1.044,0.86925,-0.99995,0.46707
1.0441,0.86914,-0.99996,0.4671
1.0442,0.86902,-0.99996,0.46713
1.0443,0.86891,-0.99996,0.46716
1.0444,0.86879,-0.99997,0.46719
1.0445,0.86868,-0.99997,0.46722
1.0446,0.86857,-0.99997,0.46725
1.0448,0.86845,-0.99997,0.46728
1.0449,0.86834,-0.99998,0.46731
1.045,0.86822,-0.99998,0.46733
1.0451,0.86811,-0.99998,0.46736
1.0452,0.86799,-0.99998,0.46739
1.0453,0.86788,-0.99998,0.46742
1.0455,0.86776,-0.99999,0.46745
1.0456,0.86765,-0.99999,0.46748
1.0457,0.86753,-0.99999,0.46751
1.0458,0.86742,-0.99999,0.46754
1.0459,0.8673,-0.99999,0.46758
1.046,0.86719,-0.99999,0.46761
1.0462,0.86707,-1,0.46764
1.0463,0.86696,-1,0.46767
1.0464,0.86684,-1,0.4677
1.0465,0.86672,-1,0.46773
1.0466,0.86661,-1,0.46776
1.0467,0.86649,-1,0.46779
1.0468,0.86638,-1,0.46782
1.047,0.86626,-1,0.46785
1.0471,0.86615,-1,0.46788
1.0472,0.86603,-1,0.46791
1.0473,0.86592,-1,0.46795
1.0474,0.8658,-1,0.46798
1.0475,0.86568,-1,0.46801
1.0477,0.86557,-1,0.46804
1.0478,0.86545,-1,0.46807
1.0479,0.86534,-1,0.4681
1.048,0.86522,-1,0.46813
1.0481,0.8651,-1,0.46817
1.0482,0.86499,-1,0.4682
1.0483,0.86487,-0.99999,0.46823
1.0485,0.86476,-0.99999,0.46826
1.0486,0.86464,-0.99999,0.46829
1.0487,0.86452,-0.99999,0.46833
1.0488,0.86441,-0.99999,0.46836
1.0489,0.86429,-0.99999,0.46839
1.049,0.86418,-0.99998,0.46842
1.0492,0.86406,-0.99998,0.46846
1.0493,0.86394,-0.99998,0.46849
1.0494,0.86383,-0.99998,0.46852
1.0495,0.86371,-0.99998,0.46855
1.0496,0.86359,-0.99997,0.46859
1.0497,0.86348,-0.99997,0.46862
1.0499,0.86336,-0.99997,0.46865
1.05,0.86324,-0.99997,0.46869
1.0501,0.86313,-0.99996,0.46872
1.0502,0.86301,-0.99996,0.46875
1.0503,0.86289,-0.99996,0.46879
1.0504,0.86278,-0.99995,0.46882
1.0505,0.86266,-0.99995,0.46885
1.0507,0.86254,-0.99995,0.46889
1.0508,0.86242,-0.99994,0.46892
1.0509,0.86231,-0.99994,0.46896
1.051,0.86219,-0.99993,0.46899
1.0511,0.86207,-0.99993,0.46902
1.0512,0.86196,-0.99993,0.46906
1.0514,0.86184,-0.99992,0.46909
1.0515,0.86172,-0.99992,0.46913
1.0516,0.8616,-0.99991,0.46916
1.0517,0.86149,-0.99991,0.46919
1.0518,0.86137,-0.9999,0.46923
1.0519,0.86125,-0.9999,0.46926
1.052,0.86113,-0.99989,0.4693
1.0522,0.86102,-0.99989,0.46933
1.0523,0.8609,-0.99988,0.46937
1.0524,0.86078,-0.99988,0.4694
1.0525,0.86066,-0.99987,0.46944
1.0526,0.86054,-0.99987,0.46947
1.0527,0.86043,-0.99986,0.46951
1.0529,0.86031,-0.99986,0.46954
1.053,0.86019,-0.99985,0.46958
1.0531,0.86007,-0.99984,0.46961
1.0532,0.85995,-0.99984,0.46965
1.0533,0.85984,-0.99983,0.46968
1.0534,0.85972,-0.99982,0.46972
1.0536,0.8596,-0.99982,0.46976
1.0537,0.85948,-0.99981,0.46979
1.0538,0.85936,-0.9998,0.46983
1.0539,0.85925,-0.9998,0.46986
1.054,0.85913,-0.99979,0.4699
1.0541,0.85901,-0.99978,0.46994
1.0542,0.85889,-0.99978,0.46997
1.0544,0.85877,-0.99977,0.47001
1.0545,0.85865,-0.99976,0.47004
1.0546,0.85853,-0.99975,0.47008
1.0547,0.85842,-0.99975,0.47012
1.0548,0.8583,-0.99974,0.47015
1.0549,0.85818,-0.99973,0.47019
1.0551,0.85806,-0.99972,0.47023
1.0552,0.85794,-0.99971,0.47026
1.0553,0.85782,-0.99971,0.4703
1.0554,0.8577,-0.9997,0.47034
1.0555,0.85758,-0.99969,0.47038
1.0556,0.85747,-0.99968,0.47041
1.0558,0.85735,-0.99967,0.47045
1.0559,0.85723,-0.99966,0.47049
1.056,0.85711,-0.99965,0.47052
1.0561,0.85699,-0.99964,0.47056
1.0562,0.85687,-0.99963,0.4706
1.0563,0.85675,-0.99962,0.47064
1.0564,0.85663,-0.99962,0.47068
1.0566,0.85651,-0.99961,0.47071
1.0567,0.85639,-0.9996,0.47075
1.0568,0.85627,-0.99959,0.47079
1.0569,0.85615,-0.99958,0.47083
1.057,0.85603,-0.99957,0.47087
1.0571,0.85591,-0.99956,0.4709
1.0573,0.85579,-0.99954,0.47094
1.0574,0.85567,-0.99953,0.47098
1.0575,0.85555,-0.99952,0.47102
1.0576,0.85544,-0.99951,0.47106
1.0577,0.85532,-0.9995,0.4711
1.0578,0.8552,-0.99949,0.47114
1.0579,0.85508,-0.99948,0.47117
1.0581,0.85496,-0.99947,0.47121
1.0582,0.85484,-0.99946,0.47125
1.0583,0.85472,-0.99945,0.47129
1.0584,0.8546,-0.99943,0.47133
1.0585,0.85448,-0.99942,0.47137
1.0586,0.85436,-0.99941,0.47141
1.0588,0.85423,-0.9994,0.47145
1.0589,0.85411,-0.99939,0.47149
1.059,0.85399,-0.99937,0.47153
1.0591,0.85387,-0.99936,0.47157
1.0592,0.85375,-0.99935,0.47161
1.0593,0.85363,-0.99934,0.47165
1.0595,0.85351,-0.99932,0.47169
1.0596,0.85339,-0.99931,0.47173
1.0597,0.85327,-0.9993,0.47177
1.0598,0.85315,-0.99929,0.47181
1.0599,0.85303,-0.99927,0.47185
1.06,0.85291,-0.99926,0.47189
1.0601,0.85279,-0.99925,0.47193
1.0603,0.85267,-0.99923,0.47197
1.0604,0.85255,-0.99922,0.47201
1.0605,0.85243,-0.9992,0.47205
1.0606,0.8523,-0.99919,0.47209
1.0607,0.85218,-0.99918,0.47213
1.0608,0.85206,-0.99916,0.47217
1.061,0.85194,-0.99915,0.47221
1.0611,0.85182,-0.99913,0.47225
1.0612,0.8517,-0.99912,0.4723
1.0613,0.85158,-0.9991,0.47234
1.0614,0.85146,-0.99909,0.47238
1.0615,0.85134,-0.99908,0.47242
1.0616,0.85121,-0.99906,0.47246
1.0618,0.85109,-0.99905,0.4725
1.0619,0.85097,-0.99903,0.47254
1.062,0.85085,-0.99901,0.47259
1.0621,0.85073,-0.999,0.47263
1.0622,0.85061,-0.99898,0.47267
1.0623,0.85048,-0.99897,0.47271
1.0625,0.85036,-0.99895,0.47275
1.0626,0.85024,-0.99894,0.4728
1.0627,0.85012,-0.99892,0.47284
1.0628,0.85,-0.9989,0.47288
1.0629,0.84988,-0.99889,0.47292
1.063,0.84975,-0.99887,0.47297
1.0632,0.84963,-0.99885,0.47301
1.0633,0.84951,-0.99884,0.47305
1.0634,0.84939,-0.99882,0.47309
1.0635,0.84927,-0.9988,0.47314
1.0636,0.84914,-0.99879,0.47318
1.0637,0.84902,-0.99877,0.47322
1.0638,0.8489,-0.99875,0.47327
1.064,0.84878,-0.99874,0.47331
1.0641,0.84865,-0.99872,0.47335
1.0642,0.84853,-0.9987,0.4734
1.0643,0.84841,-0.99868,0.47344
1.0644,0.84829,-0.99866,0.47348
1.0645,0.84816,-0.99865,0.47353
1.0647,0.84804,-0.99863,0.47357
1.0648,0.84792,-0.99861,0.47361
1.0649,0.8478,-0.99859,0.47366
1.065,0.84767,-0.99857,0.4737
1.0651,0.84755,-0.99855,0.47374
1.0652,0.84743,-0.99854,0.47379
1.0654,0.84731,-0.99852,0.47383
1.0655,0.84718,-0.9985,0.47388
1.0656,0.84706,-0.99848,0.47392
1.0657,0.84694,-0.99846,0.47397
1.0658,0.84681,-0.99844,0.47401
1.0659,0.84669,-0.99842,0.47406
1.066,0.84657,-0.9984,0.4741
1.0662,0.84644,-0.99838,0.47414
1.0663,0.84632,-0.99836,0.47419
1.0664,0.8462,-0.99834,0.47423
1.0665,0.84607,-0.99832,0.47428
1.0666,0.84595,-0.9983,0.47432
1.0667,0.84583,-0.99828,0.47437
1.0669,0.8457,-0.99826,0.47442
1.067,0.84558,-0.99824,0.47446
1.0671,0.84546,-0.99822,0.47451
1.0672,0.84533,-0.9982,0.47455
1.0673,0.84521,-0.99818,0.4746
1.0674,0.84509,-0.99816,0.47464
1.0675,0.84496,-0.99814,0.47469
1.0677,0.84484,-0.99812,0.47473
1.0678,0.84472,-0.99809,0.47478
1.0679,0.84459,-0.99807,0.47483
1.068,0.84447,-0.99805,0.47487
1.0681,0.84434,-0.99803,0.47492
1.0682,0.84422,-0.99801,0.47496
1.0684,0.8441,-0.99799,0.47501
1.0685,0.84397,-0.99796,0.47506
1.0686,0.84385,-0.99794,0.4751
1.0687,0.84372,-0.99792,0.47515
1.0688,0.8436,-0.9979,0.4752
1.0689,0.84348,-0.99787,0.47524
1.0691,0.84335,-0.99785,0.47529
1.0692,0.84323,-0.99783,0.47534
1.0693,0.8431,-0.99781,0.47539
1.0694,0.84298,-0.99778,0.47543
1.0695,0.84285,-0.99776,0.47548
1.0696,0.84273,-0.99774,0.47553
1.0697,0.8426,-0.99771,0.47557
1.0699,0.84248,-0.99769,0.47562
1.07,0.84235,-0.99767,0.47567
1.0701,0.84223,-0.99764,0.47572
1.0702,0.84211,-0.99762,0.47576
1.0703,0.84198,-0.99759,0.47581
1.0704,0.84186,-0.99757,0.47586
1.0706,0.84173,-0.99755,0.47591
1.0707,0.84161,-0.99752,0.47596
1.0708,0.84148,-0.9975,0.476
1.0709,0.84136,-0.99747,0.47605
1.071,0.84123,-0.99745,0.4761
1.0711,0.84111,-0.99742,0.47615
1.0712,0.84098,-0.9974,0.4762
1.0714,0.84086,-0.99737,0.47625
1.0715,0.84073,-0.99735,0.47629
1.0716,0.84061,-0.99732,0.47634
1.0717,0.84048,-0.9973,0.47639
1.0718,0.84035,-0.99727,0.47644
1.0719,0.84023,-0.99725,0.47649
1.0721,0.8401,-0.99722,0.47654
1.0722,0.83998,-0.99719,0.47659
1.0723,0.83985,-0.99717,0.47664
1.0724,0.83973,-0.99714,0.47669
1.0725,0.8396,-0.99712,0.47674
1.0726,0.83948,-0.99709,0.47679
1.0728,0.83935,-0.99706,0.47684
1.0729,0.83922,-0.99704,0.47688
1.073,0.8391,-0.99701,0.47693
1.0731,0.83897,-0.99698,0.47698
1.0732,0.83885,-0.99696,0.47703
1.0733,0.83872,-0.99693,0.47708
1.0734,0.83859,-0.9969,0.47713
1.0736,0.83847,-0.99687,0.47718
1.0737,0.83834,-0.99685,0.47723
1.0738,0.83822,-0.99682,0.47729
1.0739,0.83809,-0.99679,0.47734
1.074,0.83796,-0.99676,0.47739
1.0741,0.83784,-0.99673,0.47744
1.0743,0.83771,-0.99671,0.47749
1.0744,0.83759,-0.99668,0.47754
1.0745,0.83746,-0.99665,0.47759
1.0746,0.83733,-0.99662,0.47764
1.0747,0.83721,-0.99659,0.47769
1.0748,0.83708,-0.99656,0.47774
1.075,0.83695,-0.99654,0.47779
1.0751,0.83683,-0.99651,0.47784
1.0752,0.8367,-0.99648,0.4779
1.0753,0.83657,-0.99645,0.47795
1.0754,0.83645,-0.99642,0.478
1.0755,0.83632,-0.99639,0.47805
1.0756,0.83619,-0.99636,0.4781
1.0758,0.83607,-0.99633,0.47815
1.0759,0.83594,-0.9963,0.47821
1.076,0.83581,-0.99627,0.47826
1.0761,0.83568,-0.99624,0.47831
1.0762,0.83556,-0.99621,0.47836
1.0763,0.83543,-0.99618,0.47841
1.0765,0.8353,-0.99615,0.47847
1.0766,0.83518,-0.99612,0.47852
1.0767,0.83505,-0.99609,0.47857
1.0768,0.83492,-0.99606,0.47862
1.0769,0.83479,-0.99603,0.47868
1.077,0.83467,-0.996,0.47873
1.0771,0.83454,-0.99597,0.47878
